,,タイトル1,タイトル1内リンク文字1,リンク先,タイトル1内リンク文字2,リンク先,タイトル1内リンク文字3,リンク先,タイトル2,タイトル2内リンク文字1,リンク先,タイトル2内リンク文字2,リンク先,開催日,対象,申込受付状況,詳細
1,23_1,"●　《実践》接遇・おもてなしセミナー
講師：中川真弓氏（キャリアプランニング）
会場：久世エスパス",キャリアプランニング,http://www.capla.co.jp/,,,,,"ビジネスマナー 
※昼・夜は同じ内容です。",,,,,"3/8(木)
15:00-17:00","求職者
就業者
事業主","終了
",23-manner3gatsu.pdf
1,23_2,"●　《実践》接遇・おもてなしセミナー
講師：中川真弓氏（キャリアプランニング）
会場：久世エスパス",キャリアプランニング,http://www.capla.co.jp/,,,,,"ビジネスマナー 
※昼・夜は同じ内容です。",,,,,"3/8(木)
17:00-21:00","求職者
就業者
事業主","終了
",23-manner3gatsu.pdf
1,23_3,"●　《実践》接遇・おもてなしセミナー
講師：中川真弓氏（キャリアプランニング）
会場：久世エスパス",キャリアプランニング,http://www.capla.co.jp/,,,,,接遇研修（顧客満足）,,,,,"3/12（月）
13:00-15:30","求職者
就業者
事業主","終了
",23-manner3gatsu.pdf
1,23_4,"●　健康野菜づくりセミナー
講師：柴田雅人氏
（岡山県農林水産総合センター農業大学校教授）
会場：真庭市市民活動支援プラザ",岡山県農林水産総合センター農業大学校,http://www.pref.okayama.jp/norin/nousou/noudai/index.htm,,,,,,,,,,"3/10(土)
10:00-15:00","求職者
就業者
事業主","終了
",23-kenkouyasai.pdf
1,23_5,"●　観光のまちづくり２日間集中講座
企画・開発・模擬計画作成
講師：木村俊昭氏
会場：市民活動支援プラザ",木村俊昭氏,http://kimutoshi.jugem.jp/,,,,,①　講義・演習,,,,,"2/18(土)
10:00-17:00","事業主
就業者
求職者",終了,23-kankomachi.pdf
1,23_6,"●　観光のまちづくり２日間集中講座
企画・開発・模擬計画作成
講師：木村俊昭氏
会場：市民活動支援プラザ",木村俊昭氏,http://kimutoshi.jugem.jp/,,,,,②　講義・演習・発表,,,,,"2/28(火)
10:00-17:00","事業主
就業者
求職者",終了,23-kankomachi.pdf
1,23_7,"● 「ITスキルアップセミナー」(ワード・エクセル）
講師：株式会社ランネット
会場：勝山文化センター　研修室",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,①　ワード基礎,,,,,"2/1（水）
昼13:30～",求職中,"終了
",23-skilljan.pdf
1,23_8,"● 「ITスキルアップセミナー」(ワード・エクセル）
講師：株式会社ランネット
会場：勝山文化センター　研修室",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,②　ワード中級,,,,,"2/2（木）
昼13:30～",求職中,"終了
",23-skilljan.pdf
1,23_9,"● 「ITスキルアップセミナー」(ワード・エクセル）
講師：株式会社ランネット
会場：勝山文化センター　研修室",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,③　ワード中級　※②③は同じ内容です。,,,,,"2/3（金）
夜18:30～",求職中,"終了
",23-skilljan.pdf
1,23_10,"● 「ITスキルアップセミナー」(ワード・エクセル）
講師：株式会社ランネット
会場：勝山文化センター　研修室",株式会社ランネット,http://www.lannet-inc.co.jp/,,,,,④　エクセル中級,,,,,"2/8（水）
夜18:30～",求職中,"終了
",23-skilljan.pdf
