,,タイトル1,タイトル1内リンク文字1,リンク先,タイトル1内リンク文字2,リンク先,タイトル2,開催日,対象,申込受付状況,詳細(PDF名)
1,24_1,"●ネットショップ基礎講座
講師：井上敬介氏
　　　(ダイレクトマーケティング総合研究所)
会場：久世エスパス会議室",井上敬介氏,http://www.direct-marketing.co.jp/,,,,"3/7（木）
10：00-12：00","求職者
就業者",募集中,20130225netshop.pdf
1,24_2,"●　ブランディング力養成講座
講師：刈谷裕子氏（ＭＢＡ-Ｌａｂ．）
会場：勝山木材ふれあい会館",ＭＢＡ-Ｌａｂ．,http://mbalab.jp/personal.html,,,,"3/8（金）
12：30-15：30","求職者
就業者
事業主",募集中,20130207buranding.pdf
1,24_3,"●　ネットで目を引く　
 　　　　商品の撮り方実践セミナー
講師：石崎公生氏（アドボックスフォトグラフィ）
会場：勝山木材ふれあい会館
※同じ内容で２回行います。",アドボックスフォトグラフィ,http://ad-box.co.jp/,,,,"3/6(水)
13：30-16：30","求職者
就業者
事業主",募集中,20130207saitosyashin.pdf
1,24_4,"●　ネットで目を引く　
 　　　　商品の撮り方実践セミナー
講師：石崎公生氏（アドボックスフォトグラフィ）
会場：勝山木材ふれあい会館
※同じ内容で２回行います。",アドボックスフォトグラフィ,http://ad-box.co.jp/,,,,"3/7（木）
13：30-16：30",,,
1,24_5,"●　就職力ステップアップ講座
講師：矢野純子氏（キャリアプランニング）
会場：久世エスパス会議室",キャリアプランニング,http://www.capla.co.jp/,,,,"2/28（木）
13：30-16：00",求職者,募集中,20130207syusyoku.pdf
1,24_6,"●　プレゼン研修セミナー
講師：大木ヒロシ氏
　　　 （ジャイロ総合コンサルティング）
会場：久世エスパス会議室",ジャイロ総合コンサルティング,http://jairo.co.jp/,,,,"2/26（火）
18：30-21：30","求職者
就業者
事業主",終了,20130207purezen.pdf
1,24_7,"●　会話術テクニック講座
　～人前で話すのがラクになる！５つの魔法～
講師：金光サリィ氏（ヴィゴラスマインド）
会場：久世エスパスセンター１Ｆギャラリー",ヴィゴラスマインド,http://vigomind.com/,,,,"2/21（木）
18：30～","求職者
就業者
事業主",終了,20130207kaiwajutu.pdf
1,24_8,"●　パソコン講座
　　　　　～ワード＆エクセル＆ホームページ～
講師：ランネット
会場：勝山文化センター　研修室",ランネット,http://www.lannet-inc.co.jp/,,,①ワード基礎,"2/1（金）
13：30-16：30","求職者
就業者",終了,20130107pcskil.pdf
1,24_9,"●　パソコン講座
　　　　　～ワード＆エクセル＆ホームページ～
講師：ランネット
会場：勝山文化センター　研修室",ランネット,http://www.lannet-inc.co.jp/,,,②ワード中級,"2/5（火）
18：30-21：30","求職者
就業者",終了,20130107pcskil.pdf
1,24_10,"●　パソコン講座
　　　　　～ワード＆エクセル＆ホームページ～
講師：ランネット
会場：勝山文化センター　研修室",ランネット,http://www.lannet-inc.co.jp/,,,③エクセル中級,"2/6（水）
18：30-21：30","求職者
就業者",終了,20130107pcskil.pdf
1,24_11,"●　パソコン講座
　　　　　～ワード＆エクセル＆ホームページ～
講師：ランネット
会場：勝山文化センター　研修室",ランネット,http://www.lannet-inc.co.jp/,,,④エクセル基礎,"2/7（木）
13：30-16：30","求職者
就業者",終了,20130107pcskil.pdf
1,24_12,"●　パソコン講座
　　　　　～ワード＆エクセル＆ホームページ～
講師：ランネット
会場：勝山文化センター　研修室",ランネット,http://www.lannet-inc.co.jp/,,,⑤ワード＆エクセル,"2/13（水）
18：30-21：30","求職者
就業者",終了,20130107pcskil.pdf
1,24_13,"●　パソコン講座
　　　　　～ワード＆エクセル＆ホームページ～
講師：ランネット
会場：勝山文化センター　研修室",ランネット,http://www.lannet-inc.co.jp/,,,⑥ホームページ,"2/14（木）
13：30-16：30","求職者
就業者",終了,20130107pcskil.pdf
1,24_14,"●　農業経営セミナー
　　　　　　　～農業で利益を出し続ける秘訣～
講師：澤浦彰治氏（グリンリーフ・野菜くらぶ）
会場：久世公民館大ホール",グリンリーフ,http://www.akn.jp/index.php,野菜くらぶ,http://www.yasaiclub.co.jp/index.php,,"1/30（水）
14：30～","事業主
就業者",終了,20130107nougyou.pdf
1,24_15,"●　色彩戦略セミナー
　　　　　　　～色の力で業績を上げる！！～
講師：花岡ふみよ氏（ラピス）
会場：真庭市市民活動支援プラザ",ラピス,http://www.lapis234.com/,,,,"1/29（火）
13：30-16：00",求職者,終了,20130107sikisai.pdf
1,24_16,"●　観光資源開発セミナー
講師：柄木孝志氏
会場：北房なかつい陣屋",,,,,,"1/28（月）
10：00-12：00","事業主
就業者",終了,20121211hokubou.pdf
1,24_17,"●　観光資源開発セミナー
講師：柄木孝志氏
会場：北房なかつい陣屋",,,,,,"1/28（月）
13：00-15：00","事業主
就業者",終了,20121211hokubou.pdf
1,24_18,"●　地域プランナー育成セミナー
講師：吉元幹憲氏（社長室）
会場：真庭市市民活動支援プラザ",社長室,http://www.shachoshitsu.jp/,,,① ファンドってなんだろう,"1/25（金）
18：30-20：30","求職者
就業者",終了,20121211fando.pdf
1,24_19,"●　地域プランナー育成セミナー
講師：吉元幹憲氏（社長室）
会場：真庭市市民活動支援プラザ",社長室,http://www.shachoshitsu.jp/,,,② 経営をコントロールしよう,"2/5（火）
18：30-20：30","求職者
就業者",終了,20121211fando.pdf
1,24_20,"●　ジュニア　野菜ソムリエ養成講座
講師：日本野菜ソムリエ協会
会場：真庭市市民活動支援プラザ",日本野菜ソムリエ協会,http://www.vege-fru.com/,,,①ベジフルコミュニケーション,"1/18（金）
18：15-20：30","事業主
就業者",終了,20121211somurie.pdf
1,24_21,"●　ジュニア　野菜ソムリエ養成講座
講師：日本野菜ソムリエ協会
会場：真庭市市民活動支援プラザ",日本野菜ソムリエ協会,http://www.vege-fru.com/,,,②ベジフル入門,"1/19（土）
10：00～","事業主
就業者",終了,20121211somurie.pdf
1,24_22,"●　ジュニア　野菜ソムリエ養成講座
講師：日本野菜ソムリエ協会
会場：真庭市市民活動支援プラザ",日本野菜ソムリエ協会,http://www.vege-fru.com/,,,③ベジフルクッカリー,"1/20（日）
10：00～","事業主
就業者",終了,20121211somurie.pdf
1,24_23,"●ソーシャルネットワークの落とし穴セミナー
講師：稲垣桃子氏
　　　　　　（ジャイロ総合コンサルティング）
会場：久世エスパス",ジャイロ総合コンサルティング,http://jairo.co.jp/,,,,"1/10（木）
13：30-16：30","求職者
就業者",終了,20121211riterashi.pdf
1,24_24,"●ソーシャルネットワークの落とし穴セミナー
講師：稲垣桃子氏
　　　　　　（ジャイロ総合コンサルティング）
会場：久世エスパス",ジャイロ総合コンサルティング,http://jairo.co.jp/,,,,"1/10（木）
相談会
16：30-17：00","求職者
就業者",終了,20121211riterashi.pdf
1,24_25,"●　アンケート作成セミナー
　　　　　「アンケートの作成と集計の基礎」
講師：黒田正博氏（岡山理科大学　准教授）
会場：久世エスパス　研修室",,,,,,"12/20（木）
14：30-17：00",求職者,終了,20121211anke-to.pdf
1,24_26,"●　健康野菜づくりセミナー
講師：山本俊久氏
　　　　（真庭農業普及指導センター）
会場：久世エスパス　会議室",,,,,,"12/13（木）
15：00-17：00",事業主,終了,kenkouyasai.pdf
1,24_27,"●　第二弾　ＰＯＰセミナー
講師：石川香代氏　石川伊津市 (ビーアップ）
会場：真庭市役所本庁舎２Ｆ大会議室
　　　又は勝山文化センター",,,,,①基礎編：真庭市役所,"12/12（水）
18：30-21：00",求職者,終了,pop2.pdf
1,24_28,"●　第二弾　ＰＯＰセミナー
講師：石川香代氏　石川伊津市 (ビーアップ）
会場：真庭市役所本庁舎２Ｆ大会議室
　　　又は勝山文化センター",ビーアップ,http://www.pop21.biz/,,,②応用編：真庭市役所,"12/19（水）
18：30-21：00",求職者,終了,pop2.pdf
1,24_29,"●　第二弾　ＰＯＰセミナー
講師：石川香代氏　石川伊津市 (ビーアップ）
会場：真庭市役所本庁舎２Ｆ大会議室
　　　又は勝山文化センター",ビーアップ,http://www.pop21.biz/,,,③実践編：勝山文化センターへ変更になりました。,"1/23（水）
18：30-21：00",求職者,終了,pop2.pdf
1,24_30,"●　真庭食材活用　加工品開発セミナー
　　～「ヒメノモチ」「古代米」「そば粉」を使って加工品開発に挑戦～
講師：森田さや氏（料理アトリエＫｉｃｈｉｎ）
　　　 三島葉子氏（ｉｆｄフード） 
会場：真庭市美甘支局２Ｆ多目的ホール",料理アトリエＫｉｃｈｉｎ,http://atelier-kichin.com/,ｉｆｄフード,http://latelierifd.com/index.html,①加工品作りへのアプローチ等,"12/11（火）
18：00-21：00",事業主,終了,kakouhin.pdf
1,24_31,"●　真庭食材活用　加工品開発セミナー
　　～「ヒメノモチ」「古代米」「そば粉」を使って加工品開発に挑戦～
講師：森田さや氏（料理アトリエＫｉｃｈｉｎ）
　　　 三島葉子氏（ｉｆｄフード） 
会場：真庭市美甘支局２Ｆ多目的ホール",料理アトリエＫｉｃｈｉｎ,http://atelier-kichin.com/,ｉｆｄフード,http://latelierifd.com/index.html,②加工品プランニング実習等,"12/18（火）
18：00-21：00",事業主,終了,kakouhin.pdf
1,24_32,"●　真庭食材活用　加工品開発セミナー
　　～「ヒメノモチ」「古代米」「そば粉」を使って加工品開発に挑戦～
講師：森田さや氏（料理アトリエＫｉｃｈｉｎ）
　　　 三島葉子氏（ｉｆｄフード） 
会場：真庭市美甘支局２Ｆ多目的ホール",料理アトリエＫｉｃｈｉｎ,http://atelier-kichin.com/,ｉｆｄフード,http://latelierifd.com/index.html,③加工品の保健衛生管理等,"1/15（火）
18：00-21：00",事業主,終了,kakouhin.pdf
1,24_33,"●　真庭食材活用　加工品開発セミナー
　　～「ヒメノモチ」「古代米」「そば粉」を使って加工品開発に挑戦～
講師：森田さや氏（料理アトリエＫｉｃｈｉｎ）
　　　 三島葉子氏（ｉｆｄフード） 
会場：真庭市美甘支局２Ｆ多目的ホール",料理アトリエＫｉｃｈｉｎ,http://atelier-kichin.com/,ｉｆｄフード,http://latelierifd.com/index.html,④サンプル品　試食＆評価会,"1/24（木）
18：00-21：00",事業主,終了,kakouhin.pdf
1,24_34,"◆　第２回　津山圏域合同就職面接会 
場所：津山圏域雇用労働センター",,,,,,"12/5（水）
14：00-16：00","関心が
ある方",終了,tuyamasyusyoku2.pdf
1,24_35,"●　有機栽培セミナー（土づくり）
講師：小祝政明氏(ジャパンバイオファーム)
会場：産業学習館←真庭市本庁舎２Ｆ会議室",ジャパンバイオファーム,http://www.japanbiofarm.com/,,,①ミネラル肥料の使い分けと施肥設計,"12/1（土）
10：00-17：00",求職者,終了,tutidukuri.pdf
1,24_36,"●　有機栽培セミナー（土づくり）
講師：小祝政明氏(ジャパンバイオファーム)
会場：産業学習館←真庭市本庁舎２Ｆ会議室",ジャパンバイオファーム,http://www.japanbiofarm.com/,,,"②堆肥作りと堆肥設計の基礎
　　良質堆肥の見分け方","12/22（土）
10：00-17：00",求職者,終了,tutidukuri.pdf
1,24_37,"●　有機栽培セミナー（土づくり）
講師：小祝政明氏(ジャパンバイオファーム)
会場：産業学習館←真庭市本庁舎２Ｆ会議室",ジャパンバイオファーム,http://www.japanbiofarm.com/,,,"③有機肥料の選び方と使い方
　　施肥設計","1/26（土）
10：00-17：00",求職者,終了,tutidukuri.pdf
1,24_38,"●　おもてなしセミナー
講師：中川真弓氏（キャリアプランニング）",キャリアプランニング,http://www.capla.co.jp/,,,"①ビジネスマナー
場所：久世エスパス　ギャラリー","11/27（火）
18：30-21：00","事業主
就業者",終了,11setugu.pdf
1,24_39,"●　おもてなしセミナー
講師：中川真弓氏（キャリアプランニング）",キャリアプランニング,http://www.capla.co.jp/,,,"②接遇研修
場所：湯原温泉ミュージアム","11/29（木）
13：30-16：30","事業主
就業者",終了,11setugu.pdf
1,24_40,"●　おもてなしセミナー
講師：中川真弓氏（キャリアプランニング）",キャリアプランニング,http://www.capla.co.jp/,,,"③電話応対
場所：市役所本庁舎２Ｆ大会議室","12/5(水)
18：30-21：00","事業主
就業者",終了,11setugu.pdf
1,24_41,"●　観光資源開発
 　　 グリーンツーリズムセミナー
　　　　　　　　　～農業の新しい価値の創造～
講師：木村修氏　（伊賀の里モクモク手づくりファーム　代表取締役社長）
会場：休暇村蒜山高原　東館ホール ",伊賀の里モクモク手づくりファーム,http://www.moku-moku.com/,,,,"11/21（水）
14：00～",事業主,終了,20121015mokumoku.pdf
1,24_42,"●　最新！商売繁盛Webサイト構築セミナー
　　　　　　　　　　　　　～売れるＷｅｂサイトに変えたい～
講師：藤井賢吾氏　（アジル・スイート　代表取締役）
会場：勝山文化センター",アジル・スイート,http://www.agilesuite.co.jp/,,,"①最新Ｗｅｂトレンド・セミナー
　　「古い常識を捨て、新しいルールを知る！」","11/8（木）
10：00-12：00","就業者
事業主",終了,20121015websyoubai.pdf
1,24_43,"●　最新！商売繁盛Webサイト構築セミナー
　　　　　　　　　　　　　～売れるＷｅｂサイトに変えたい～
講師：藤井賢吾氏　（アジル・スイート　代表取締役）
会場：勝山文化センター",アジル・スイート,http://www.agilesuite.co.jp/,,,"②自社の強み発掘セミナー
　　　　　　　　　　　「商売繁盛の秘訣に迫る！」","11/8(木)
13：30-16：00","就業者
事業主",終了,20121015websyoubai.pdf
1,24_44,"●　特産品開発・販売力向上セミナー
　　　　　　　　　　　～直売所が農村を変える～
講師：長谷川久夫氏（全国直売所研究会　会長/みずほ村市場　代表）
会場：久世公民館大ホール",全国直売所研究会,http://chokubaiken.org/,みずほ村市場,http://www.mizuhonomuraichiba.com/,,"11/6(火)
15：00～",求職者,終了,20121015mizuho.pdf
